Name on Show,Japanese Name,Profile Link,S1 Final Ranking,S1 Dance Cube,S1 Vocal Cube,S1 Personality Cube,S1 Star Cube,S2 SNT 1,S2 SNT 2,S2 SNT 3,S2 SNT 4,First Evaluation Ranking,Second Evaluation Ranking,Voting Day 1,Voting Day 2,Voting Day 3,Voting Day 4,Voting Day 5,Voting Day 6,Voting Day 7,Voting Day 8,Voting Day 9,Voting Day 10,Voting Day 11,Voting Day 12,Voting Day 13,Voting Day 14,Voting Day 15,Voting Day 16,Voting Day 17
Nina,仁菜,https://nizikake.niziproject.com/nina/,7,,Y,Y,Y,Y,,,,7,,1,1,6,2,2,5,7,2,2,1,2,3,4,1,1,2,3
Akari,あかり,https://nizikake.niziproject.com/akari/,10,Y,Y,,Y,,,,,13,,10,2,12,10,5,11,11,11,11,11,11,10,10,3,3,5,4
Miihi,みいひ,https://nizikake.niziproject.com/miihi/,2,Y,Y,Y,Y,Y,,,,1,,2,3,1,1,1,1,1,1,1,2,1,1,2,4,2,4,5
Momoka,ももか,https://nizikake.niziproject.com/momoka/,8,Y,Y,,Y,,,,,12,,13,4,13,13,13,12,13,13,13,13,13,12,13,13,13,12,13
Mako,真子,https://nizikake.niziproject.com/mako/,1,Y,Y,Y,Y,Y,,,,2,,4,5,3,4,4,2,3,5,5,3,4,4,1,2,4,3,7
Rima,りま,https://nizikake.niziproject.com/rima/,4,Y,Y,Y,Y,Y,,,,5,,3,6,4,3,3,3,2,3,3,4,3,2,3,5,5,7,1
Maya,まや,https://nizikake.niziproject.com/maya/,3,Y,Y,Y,Y,Y,,,,4,,7,7,8,7,9,7,5,6,6,6,6,6,6,7,8,8,9
Ayaka,あやか,https://nizikake.niziproject.com/ayaka/,13,Y,,Y,Y,Y,,,,9,,5,8,5,5,6,4,4,4,4,5,5,5,5,6,6,6,6
Rio,梨緒,https://nizikake.niziproject.com/rio/,9,Y,Y,Y,,Y,,,,6,,6,9,7,6,7,6,9,9,9,9,8,9,8,10,10,11,11
Mayuka,まゆか,https://nizikake.niziproject.com/mayuka/,12,Y,Y,,Y,Y,,,,8,,9,10,10,9,10,9,10,10,10,10,10,11,11,11,11,1,8
Yuna,ゆな,https://nizikake.niziproject.com/yuna/,6,Y,Y,Y,Y,,,,,10,,8,11,9,8,8,8,8,8,8,8,9,8,9,9,9,10,2
Riku,陸,https://nizikake.niziproject.com/riku/,5,Y,Y,Y,Y,Y,,,,3,,11,12,11,11,11,10,6,7,7,7,7,7,7,8,7,9,10
Riria,リリア,https://nizikake.niziproject.com/riria/,11,Y,Y,Y,,,,,,11,,12,13,2,12,12,13,12,12,12,12,12,13,12,12,12,13,12
