Name on Show,Full Profile Name,Chinese Name,Company,Company English,Company Chinese,Judges Evaluation 1,Judges Evaluation 2,Judges Evaluation 3,Ranking Ep 2,Ranking Ep 4,Ranking Ep 6,Live Voting Ranking Ep 7,Ranking Ep 9 + 10,Ranking Ep 12,Live Voting Ranking Ep 13,Ranking Ep 16
Jue Chen,Kana Chen Jue,陈珏,Individual Trainees,Individual Trainees,,B,D,D,3,3,4,59,6,23,43,34
Gogo,GoGo Gou Xueying,勾雪莹,Individual Trainees,Individual Trainees,,B,F,B,34,39,34,75,34,42,33,48
Victoria Li,Victoria Li Yichen,李依宸,Individual Trainees,Individual Trainees,,F,B,D,63,42,45,17,38,44,40,37
Ranee Wang,Ranee Wang Wanchen,王婉辰,Individual Trainees,Individual Trainees,,D,D,D,100,57,52,57,48,58,57,59
Zoe Wang,Zoe Wang Xinyu,王欣宇,Individual Trainees,Individual Trainees,,C,A,B,6,9,14,2,18,48,49,52
Yan Xia,Hikari Xia Yan,夏研,Individual Trainees,Individual Trainees,,B,F,C,67,30,15,108,16,28,39,43
Pumpkin Xu,Pumpkin Xu Baiyi,徐百仪,Individual Trainees,Individual Trainees,,B,F,D,107,77,90,106,91,,,
Bunny Zhang,Bunny Zhang Chuhan,张楚寒,Individual Trainees,Individual Trainees,,B,D,A,27,41,29,46,22,24,34,27
Shujun Ma,Yume Ma Shujun,马蜀君,Individual Trainees,Individual Trainees,,B,C,A,25,36,40,25,44,47,47,51
Xiaoying Quan,Yeong Quan Xiaoying,权笑迎,Ladybees Multimedia(姊妹淘),Ladybees Multimedia,姊妹淘,C,D,F,85,99,105,49,105,,,
Xin Liu,Sarah Liu Yuxin,刘雨昕,AMG Asian Music Group(AMG亚洲音乐集团),AMG Asian Music Group,AMG亚洲音乐集团,A,B,A,23,16,11,12,8,6,1,2
Juicy Zhuo,Juicy Zuo Zhuo,左卓,Bymoon Entertainment(百沐娱乐),Bymoon Entertainment,百沐娱乐,C,C,D,52,48,62,28,50,39,19,35
Huibo Lin,Mizuki Lin Huibo,林慧博,Banana Entertainment(香蕉娱乐),Banana Entertainment,香蕉娱乐,B,C,B,96,103,103,26,103,,,
Ziyi Du,Hannah Du Ziyi,杜紫怡,Banana Entertainment(香蕉娱乐),Banana Entertainment,香蕉娱乐,C,F,F,81,102,104,99,104,,,
Qinrou Su,Suzanne Su Qinrou,粟钦柔,Banana Entertainment(香蕉娱乐),Banana Entertainment,香蕉娱乐,D,D,D,83,78,85,61,86,,,
Sophia Wang,Sophia Wang Shuhui,王姝慧,Banana Entertainment(香蕉娱乐),Banana Entertainment,香蕉娱乐,B,F,B,57,60,61,72,69,,,
Eileen Lin,Eileen Ai Lin,艾霖,South Fest(美丽南方),South Fest,美丽南方,D,F,F,55,88,100,106,100,,,
Shaking,Shaking Xie Keyin,谢可寅,J N E R A(嘉纳盛世),J N E R A,嘉纳盛世,B,A,A,32,44,13,1,7,3,8,4
Meddhi Fu,Meddhi Fu Ruqiao,傅如乔,M.Nation(辰星娱乐),M.Nation,辰星娱乐,B,D,C,66,71,33,70,23,25,29,32
Flora Dai,Flora Dai Yanni,戴燕妮,Cool Young Entertainment(酷漾娱乐),Cool Young Entertainment,酷漾娱乐,A,B,B,33,38,38,21,27,18,17,17
Xiaowei Duan,Weiwei Duan Xiaowei,段小薇,Mon Young Pictures(萌样影视),Mon Young Pictures,萌样影视,A,D,D,44,40,42,43,60,55,49,54
